Run at: 20260106-115238
Location: lat=39.9522, lng=-75.1932
Radius: 5.0 miles
Coverage: standard
Grid points: 69
Types: doctor, medical_clinic, hospital
Nearby calls: 138
Details calls: 198
Unique places: 198

PlaceID	Name	Address	Phone	Website
ChIJ0QmIKy3CxokRp_nJ-dUy9Lw	Oral Surgery Consultants of Pennsylvania	151 S Springfield Rd, Clifton Heights, PA 19018, USA	(610) 622-5454	http://www.oralsurgerypa.com/
ChIJiVGK1uPHxokRZRnwliAQFE8	Penn Hospital Medicine HUP - Cedar Avenue	501 S. 54th Street MOB Ground Floor, Suite 26, Philadelphia, PA 19143, USA	(215) 316-5151	https://www.pennmedicine.org/practices/hospital-medicine-hup-cedar-avenue?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=hospital-medicine-hup-cedar-avenue&y_source=1_MjM4NTY1NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
ChIJs7nAtg_GxokROKeQQH2QxJ4	Mestichelli Barnes Dental Associates	1903 S Broad St, Philadelphia, PA 19148, USA	(215) 709-7057	https://www.southbroaddental.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
ChIJlbQJTebFxokR-dLYjrZej7I	Dental Arts Group - South Philadelphia	1517 Packer Ave, Philadelphia, PA 19145, USA	(215) 618-9070	https://dagsmiles.com/south-philadelphia/
ChIJD9js3o3CxokRlVvfYyal78k	Oral Surgery Consultants of Pennsylvania	720 MacDade Boulevard, Folsom, PA 19033, USA	(610) 461-4600	http://www.oralsurgerypa.com/
ChIJZY2R1-jDxokRoC571pJKdjo	Elite Dental	150 S MacDade Blvd Ste G, Darby, PA 19023, USA	(610) 583-2020	http://www.dentaldreams.com/
ChIJVWkB7ZnCxokRqkIBgwFOK2A	vybe urgent care	213 Morton Ave, Folsom, PA 19033, USA	(610) 285-9500	https://www.vybe.care/locations/ridley/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
ChIJA9fatwnGxokRH8m69I4JzGk	Jefferson Methodist Hospital	2301 S Broad St, Philadelphia, PA 19148, USA	(215) 952-9000	https://www.jeffersonhealth.org/locations/methodist-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
ChIJY1guPOfDxokRdUbu06UwNAQ	Mercy Fitzgerald Hospital	1500 Lansdowne Ave, Darby, PA 19023, USA	(610) 237-4000	https://www.trinityhealthma.org/mercy-fitzgerald?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main-link
ChIJAx5xRsHGxokRoIbVtpkF9ME	Hospital of the University of Pennsylvania - Cedar Avenue	501 S 54th St, Philadelphia, PA 19143, USA	(215) 748-9000	https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/hospital-of-the-university-of-pennsylvania-cedar-ave
ChIJz4tTN-LDxokRtO3dqrS407Y	Providence Rehabilitation & Healthcare Center at Mercy Fitzgerald	600 S Wycombe Ave, Yeadon, PA 19050, USA	(610) 626-8065	https://provrehab.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=main_button
ChIJocW8bYzDxokRU4Tb0dF-3MA	AFC Urgent Care Ridley	2623 E Macdade Blvd, Holmes, PA 19043, USA	(267) 635-6060	https://www.afcurgentcare.com/ridley/?utm_source=gmb&utm_medium=organic&utm_campaign=afc-ridley-gbp
ChIJ4ZYwTgjGxokRJBLKPuWZ7rU	1300 Wolf Street	1300 Wolf St, Philadelphia, PA 19148, USA	(800) 533-3669	https://www.jeffersonhealth.org/locations/1300-wolf-street
ChIJc82h7pHGxokRJAVFiH_sLuc	GPHA - Woodland Avenue Health Center	5000 Woodland Ave, Philadelphia, PA 19143, USA	(215) 724-4700	http://www.gphainc.org/
ChIJ-YOvPZbBxokRLACUxEjBrGQ	Mercy Fitz Hospital	E Baltimore Ave &, Lansdowne Ave, Lansdowne, PA 19050, USA	(610) 237-4000	https://www.trinityhealthma.org/location/mcmc-mercy-fitzgerald
ChIJB5x82HfGxokRe8I20uBkU8M	Azura Vascular Care South Philadelphia	2412 W Passyunk Ave, Philadelphia, PA 19145, USA	(215) 462-2100	https://centers.azuravascularcare.com/pa/philadelphia/azura-vascular-care-south-philadelphia?y_source=1_MzI4MzEwMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJEd9RxpnGxokRKHVp2j6Gb3o	GPHA, Inc. Dental and Behavioral Healthcare	5501 Woodland Ave, Philadelphia, PA 19143, USA	(215) 724-4700	http://www.gphainc.org/
ChIJP6DTQXLExokRXniPwPwh2vg	DaVita Philadelphia West Dialysis	7609 Lindbergh Blvd., Philadelphia, PA 19153, USA	(833) 373-2070	https://www.davita.com/locations/pa/philadelphia/7609-lindbergh-blvd--4046
ChIJawx-MZTFxokRz2hZ3prV0a8	Jefferson Health Urology at the Navy Yard	3 Crescent Dr Floor 3, Philadelphia, PA 19112, USA	(800) 533-3669	https://www.jeffersonhealth.org/locations/navy-yard
ChIJiw3H4g7GxokRsRuFZqJa3d4	Jefferson Gastroenterology/hep	1300 Wolf St, Philadelphia, PA 19148, USA	(215) 955-8900	https://hospitals.jefferson.edu/departments-and-services/hepatitis-c-center/our-doctors.html
ChIJOeHpJP_DxokR2W91m5JwErU	Accommodating Healthcare Solutions, PC	2173 MacDade Boulevard # L, Holmes, PA 19043, USA	(267) 288-5060	http://www.ahsopc.com/
ChIJZ2lx80_DxokRRB4V2zagP5U	CHESTER PROSPECT AA CLUB HOUSE	21 04-046:000, Glenolden, PA 19036, USA		
ChIJMe8t9-bDxokRUMgGa5WCDYQ	Fresenius Medical Care at Kindred Hospital Delaware County	1500 Lansdowne Ave 6th Fl, Darby, PA 19023, USA	(610) 237-5780	http://www.ultracare-dialysis.com/
ChIJ9fEcy13bxokR5ffPJslXrbs	CAMcare Health Corporation- Paulsboro	1315 N Delaware St #1367, Paulsboro, NJ 08066, USA	(856) 583-2400	https://www.camcare.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11425939853698210126
ChIJrbMyS0bBxokRx5kPICapfxs	Long Lane Medical Center	434 Long Ln, Upper Darby Township, PA 19082, USA	(610) 626-5122	
ChIJ8VS8ml7GxokRvyoMFn2T7Oo	CHOP Buerger Center for Advanced Pediatric Care - Raymond G. Perelman Campus	3500 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 590-1000	http://www.chop.edu/locations/buerger-center-advanced-pediatric-care?utm_source=gmb&utm_medium=organic&utm_campaign=network_scc&utm_content=locations_buerger_center_advanced_pediatric_care_cta_button_consumer_consideration_all
ChIJkZBWL1zGxokRnRGQ3NOAWt8	Colket Translational Research Building - Raymond G. Perelman Campus	3501 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 590-1000	https://www.chop.edu/locations/colket-translational-research-building?utm_source=gmb&utm_medium=organic&utm_campaign=research&utm_content=locations_colket_translational_research_building_cta_button_consumer_consideration_all
ChIJL1Lc2fXGxokRlhSsTqkgjVY	VA Medical Center-Philadelphia: Maslow Joel N MD	Veterans Administration Medical Center, 3900 Woodland Ave, Philadelphia, PA 19104, USA	(215) 823-5800	
ChIJm2ODpVvGxokRjOvObwbB-68	Penn Hospital Medicine HUP	Maloney Building, 3400 Spruce St 5th Floor, Philadelphia, PA 19104, USA	(215) 316-5151	https://www.pennmedicine.org/practices/hospital-medicine-hup?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=hospital-medicine-hup&y_source=1_NDE5Nzk1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJ6wzBulvGxokRLfadvYhgzNs	Abramson Cancer Center Perelman 2nd Floor West	West Pavilion, 3400 Civic Center Blvd 2nd Floor, Philadelphia, PA 19104, USA	(215) 615-5858	https://www.pennmedicine.org/practices/abramson-cancer-center-perelman-2nd-floor?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=abramson-cancer-center-perelman-2nd-floor&y_source=1_NDE5Nzk0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJk5e55A7GxokR6aOklLJP5Ok	CHOP Pediatric Primary Care, South Philadelphia	1700 S Broad St Unit 301, Philadelphia, PA 19145, USA	(215) 467-5870	https://www.chop.edu/locations/primary-care-south-philadelphia?utm_source=gmb&utm_medium=organic&utm_campaign=network_pc&utm_content=locations_primary_care_south_philadelphia_cta_button_consumer_consideration_all
ChIJJ06Wm1vGxokRm1IpbhzdZ8Y	Children's Hospital of Philadelphia (CHOP) Radiology	3401 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 590-7000	http://www.chop.edu/centers-programs/department-radiology
ChIJeYVIrLraxokRJVp4iBQO1Hc	South Jersey Radiology West Deptford	748 Kings Hwy, West Deptford, NJ 08096, USA	(888) 909-7572	https://sjra.com/location/west-deptford/
ChIJVa9TzA_GxokRSkJjjvS2zcM	City of Philadelphia Health Center 2	1700 S Broad St Apt 201, Philadelphia, PA 19145, USA	(215) 685-1800	http://www.phila.gov/
ChIJcSVfThfGxokR4bNC2Bs0fCY	vybe urgent care	1217 S Broad St, Philadelphia, PA 19147, USA	(215) 999-1217	https://www.vybe.care/locations/south-philly/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
ChIJKatK2fvPxokRMpsnGv3sYS4	Dimarino-Kroop-Prieto Gastrointestinal Associates P.A.	26 E Red Bank Ave, Woodbury, NJ 08096, USA	(856) 848-4464	http://dkpgastro.com/
ChIJtSLKDfrPxokR2w_Vvvh5LpE	Friedberg Eye Associates, P.A.	661 N Broad St, Woodbury, NJ 08096, USA	(856) 845-7968	https://www.friedbergeye.com/
ChIJmytOTwnGxokR8Mib8TKBg0w	Doc Bresler's Cavity Busters	330 Oregon Ave, Philadelphia, PA 19148, USA	(215) 467-6000	https://www.cavitybusters.com/
ChIJJ06Wm1vGxokRqCSzbMsaqDg	Casas Jessica MD	34th Street and, Civic Center Blvd, Philadelphia, PA 19104, USA	(267) 426-5570	
ChIJH-y_cVzGxokRkfh4kBFFFDQ	Perelman Center for Advanced Medicine	3400 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 316-5151	https://www.pennmedicine.org/Locations/Perelman-Center-for-Advanced-Medicine?y_source=1_NDE5ODM1Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJJ06Wm1vGxokRjdb-dePPNJs	Children's Hospital of Philadelphia - Main Building	3401 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 590-1000	http://www.chop.edu/?utm_source=gmb&utm_medium=organic&utm_campaign=hospitalist&utm_content=main_hospital_cta_button_consumer_consideration_all
ChIJOZo2BkHHxokR-Wl3nu-FECw	The Clifton Center for Medical Breakthroughs	1 Convention Ave, Philadelphia, PA 19104, USA	(215) 662-4000	https://www.pennmedicine.org/locations/clifton-center-for-medical-breakthroughs?y_source=1_MzgxNjM4NjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
ChIJqaqqRl_GxokRaAoUg2UlI2M	Philadelphia VA Medical Center	3900 Woodland Ave, Philadelphia, PA 19104, USA	(215) 823-5800	http://www.philadelphia.va.gov/
ChIJp85vju3HxokRzou_F1E1vhk	Corporal Michael J. Crescenz VA Medical Center	3900 Woodland Ave, Philadelphia, PA 19104, USA	(215) 823-5800	https://www.va.gov/philadelphia-health-care/locations/corporal-michael-j-crescenz-department-of-veterans-affairs/
ChIJbbVRYkfHxokRDvDhSizZBVs	Penn Medicine West pavilion	East Pavilion, 3400 Civic Center Blvd 2nd Floor, Philadelphia, PA 19104, USA	(800) 789-7366	https://www.pennmedicine.org/
ChIJPcNKC_nPxokRiPKvCBprHR4	Inspira Health Center Woodbury	509 N Broad St, Woodbury, NJ 08096, USA	(856) 845-0100	https://www.inspirahealthnetwork.org/locations/inspira-health-center-woodbury
ChIJlZlicFzGxokRIdB3rdqO9fQ	Perelman Center Univ. Of Penn	3400 Civic Center Blvd, Philadelphia, PA 19104, USA	(215) 662-7300	
ChIJpVS7x_PGxokRauAnPCsZ7cs	Health Center 3	555 S 43rd St, Philadelphia, PA 19104, USA	(215) 685-7504	http://www.phila.gov/health/ambulatoryhealth/hc3.html
ChIJ9Z3gol7GxokRnV00-gwgtXk	U.S. Dept. Of Veteran Affairs Community Living Center	3461 Civic Center Blvd, Philadelphia, PA 19104, USA	(800) 949-1001	https://www.philadelphia.va.gov/visitors/nhcu.asp
ChIJ9Tt0JB_GxokR-J1Ilc5LMIQ	GPHA - Southeast Health Center	800 Washington Ave, Philadelphia, PA 19147, USA	(888) 296-4742	http://www.gphainc.org/
ChIJD_FjCjDGxokRrYyGPUpF9TE	Advocare Stoll Medical Group	1528 Walnut St #950, Philadelphia, PA 19102, USA	(267) 273-1196	https://www.advocarestollmedicalgroup.com/
ChIJmYPHxzrGxokRjHswqRDpQKw	Ringpfeil Advanced Dermatology	1516 Locust St, Philadelphia, PA 19102, USA	(215) 545-5459	https://philadelphiadermatology.com/?utm_source=gbp&utm_medium=organic&utm_campaign=localsearch
ChIJ4f9hQSPGxokRMjIcCXPo1aE	Cobblestone Kids	1352 South St, Philadelphia, PA 19147, USA	(267) 909-9551	https://www.cobblestonekids.com/
ChIJXawXyFvGxokRoV6RlFCjB38	Hospital of the University of Pennsylvania	3400 Spruce St, Philadelphia, PA 19104, USA	(215) 662-4000	https://www.pennmedicine.org/Locations/Hospital-of-the-University-of-Pennsylvania?y_source=1_NDE5ODI4Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJEeMSdifGxokRv2MWbumxs7I	Pennsylvania Hospital	800 Spruce St, Philadelphia, PA 19107, USA	(215) 316-5151	https://pennmedicine.org/Locations/Pennsylvania-Hospital?y_source=1_NDE5ODM1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJqbQtrD7GxokRPQL2SKKre8k	Penn Medicine Rittenhouse	1800 Lombard St, Philadelphia, PA 19146, USA	(800) 789-7366	https://www.pennmedicine.org/Locations/Multispecialty-location/Penn-Medicine-Rittenhouse?y_source=1_NDE5ODEyNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJk5kW1yjGxokRDUiD9dqp7GM	Mazzoni Center - Bainbridge	1348 Bainbridge St, Philadelphia, PA 19147, USA	(215) 563-0652	http://www.mazzonicenter.org/
ChIJxWgWuT7GxokRAaCi35qxWSI	Tuttleman Center	Tuttleman Center, 1840 South St, Philadelphia, PA 19146, USA	(800) 789-7366	https://www.pennmedicine.org/for-patients-and-visitors/penn-medicine-locations/penn-medicine-rittenhouse
ChIJh_mZBH7bxokRqYu3ogOSSUo	AFC Urgent Care Woodbury	875 Mantua Pike, Woodbury, NJ 08096, USA	(856) 384-5949	https://www.afcurgentcare.com/woodbury/?utm_source=gmb&utm_medium=organic&utm_campaign=afc-woodbury-gbp
ChIJT5WViSjGxokR7PKnzst2TzI	Thomas Jefferson University Hospital Emergency Department	132 S 10th St, Philadelphia, PA 19107, USA	(215) 955-6840	https://www.jeffersonhealth.org/locations/emergency-department-thomas-jefferson-university-hospital-main-building
ChIJe3XJByjGxokRqRXD26Pk9Qo	Wills Eye Hospital	840 Walnut St, Philadelphia, PA 19107, USA	(215) 928-3000	https://www.willseye.org/?utm_source=Google-My-Business
ChIJ-U-XcyjGxokRtyG5kZQNi-w	Jefferson Hospital for Neuroscience	900 Walnut St, Philadelphia, PA 19107, USA	(215) 955-6000	https://www.jeffersonhealth.org/locations/jefferson-hospital-for-neuroscience?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
ChIJ9SQTETLOxokRZc6prM9sy4A	Nemours Children's Health, Deptford - Specialty Care	1280 Almonesson Rd, Deptford, NJ 08096, USA	(800) 416-4441	https://www.nemours.org/locations/new-jersey-pediatric-specialty-care-deptford.html?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing
ChIJrZt4TyjGxokRH0-DHNx5dRk	Rothman Orthopaedics	33 S 9th St Suite 1220, Philadelphia, PA 19107, USA	(800) 321-9999	https://rothmanortho.com/locations/center-city-philadelphia?utm_source=Yext&utm_medium=SearchEngine&y_source=1_MTM3MDc5MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
ChIJUTl4lzrGxokR6tccC4L-oEw	Center City Emergency Dentist	1429 Walnut St 6th Floor, Philadelphia, PA 19102, USA	(215) 223-5555	https://www.centercityemergencydentists.com/?utm_source=google&utm_medium=organic&utm_campaign=1seo_gmb
ChIJ34JOOQDHxokRt8duV1c_DSc	Jefferson Surgery - Honickman Center	1101 Chestnut St Floor 8, Philadelphia, PA 19107, USA	(800) 533-3669	https://www.jeffersonhealth.org/locations/1101-chestnut-surgery?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
ChIJ_3f-lCjGxokRX59DeORGfXY	Thomas Jefferson University Hospital	111 S 11th St, Philadelphia, PA 19107, USA	(215) 955-6000	https://www.jeffersonhealth.org/locations/thomas-jefferson-university-hospital?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
ChIJ--3E7CjGxokR5TxZtRRM_jU	Gibbon Building	111 S 11th St, Philadelphia, PA 19107, USA	(215) 955-6000	https://www.jeffersonhealth.org/locations/thomas-jefferson-university-hospital
ChIJgbdg3CfGxokRtY09ss3EUhc	Wills Eye Emergency Room	900 Walnut St, Philadelphia, PA 19107, USA	(215) 503-8080	https://www.willseye.org/medical-services/eye-emergency-department/
ChIJ6dbyjyjGxokRM2idj1ueUHk	Thomas Jefferson University	901 Walnut St, Philadelphia, PA 19107, USA	(215) 955-1533	http://www.jefferson.edu/
ChIJryTpIZLHxokRqTkIoW6_m1s	Jefferson Honickman Center	1101 Chestnut St, Philadelphia, PA 19107, USA	(800) 533-3669	https://www.jeffersonhealth.org/locations/honickman-center
ChIJER224SDMxokRnZGpI5RGj8A	The Heart House-Haddon Heights	210 W Atlantic Ave, Haddon Heights, NJ 08035, USA	(856) 546-3003	https://www.hearthousenj.com/?utm_source=google&utm_medium=local&utm_campaign=Heart_House_Haddon_Heights_website
ChIJC64JTKHOxokReQLmT7v29aY	Cooper Urgent Care Center in Audubon	318 S White Horse Pike, Audubon, NJ 08106, USA	(856) 672-6077	https://www.cooperhealth.org/services/urgent-care-center?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=Urgent%20Care
ChIJVb59FvvIxokRRE6j7IcDwQ4	CAMcare Health Corporation	817 Federal St, Camden, NJ 08103, USA	(856) 583-2400	http://www.camcare.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8538913434524842881
ChIJ1adyLwDHxokRKnrFJcO5xLs	Jefferson Honickman Center Parking	Honickman Center Garage entrance, Clover St, Philadelphia, PA 19107, USA		https://www.jeffersonhealth.org/locations/honickman-center/directions-and-parking
ChIJ1-ECnOTIxokRNIzSEkHxbwk	Cooper University Hospital	1 Cooper Plaza, Camden, NJ 08103, USA	(856) 342-2000	https://www.cooperhealth.org/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business
ChIJuayizDzJxokRt_RNdvn2lPA	Virtua Our Lady of Lourdes Hospital	1600 Haddon Ave, Camden, NJ 08103, USA	(856) 757-3500	https://www.virtua.org/locations/hospital-virtua-our-lady-of-lourdes
ChIJ1-ECnOTIxokReXTAK6xzYpQ	Sheridan Pavilion	3 Cooper Plaza, Camden, NJ 08103, USA	(856) 342-2000	http://www.cooperhealth.org/locations/camden-three-cooper-plaza
ChIJrcbSvvfGxokRKL9WRV_knsw	Penn Dental Medicine	240 S 40th St #3, Philadelphia, PA 19104, USA	(215) 898-8965	http://penndentalmedicine.org/
ChIJmaUc-OPGxokRZA4_pymG4-U	CHOP Karabots Pediatric Primary Care Center, West Philadelphia	4865 Market St, Philadelphia, PA 19139, USA	(267) 425-9800	https://www.chop.edu/locations/karabots-pediatric-care-center-west-philadelphia?utm_source=gmb&utm_medium=organic&utm_campaign=network_pc&utm_content=locations_karabots_pediatric_care_center_west_philadelphia_cta_button_consumer_consideration_all
ChIJESde8t3pxokRfhVKah-hZxs	CHOP Pediatric Primary Care, Springfield	1001 Baltimore Pike Unit 10A, Springfield, PA 19064, USA	(610) 604-0888	https://www.chop.edu/locations/primary-care-springfield?utm_source=gmb&utm_medium=organic&utm_campaign=network_pc&utm_content=locations_primary_care_springfield_cta_button_consumer_consideration_all
ChIJ7YWASc3GxokRDJCl_oRa0BM	CHOP Pediatric Primary Care, Cobbs Creek	225 Cobbs Creek Pkwy, Philadelphia, PA 19139, USA	(215) 476-2223	https://www.chop.edu/locations/primary-care-cobbs-creek?utm_source=gmb&utm_medium=organic&utm_campaign=network_pc&utm_content=locations_primary_care_cobbs_creek_cta_button_consumer_consideration_all
ChIJA_eP6BTCxokRRXqeuZTpz74	Patient First Primary and Urgent Care - Springfield	417 Baltimore Pike, Springfield, PA 19064, USA	(484) 470-2600	https://www.patientfirst.com/locations/eastern-pennsylvania/springfield?utm_source=local&utm_medium=organic&utm_campaign=gbp&y_source=1_NTI1NTU2NDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
ChIJo8L3c5zHxokRlDcD3FuFu0I	Penn Dental Family Practice at Locust Walk	240 S 40th St 3rd Floor, Philadelphia, PA 19104, USA	(215) 898-7337	https://mypenndentist.org/our-offices/penn-dental-locust-walk/?utm_source=Google+My+Business+LW&utm_id=Google+My+Business
ChIJ46_Yn4LHxokRhFTPoTmHvKo	vybe urgent care	5828 Market St, Philadelphia, PA 19139, USA	(215) 948-4010	https://www.vybe.care/locations/west-philly/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
ChIJY8zpryLBxokRwvLBPJmWQXA	ChesPenn Center for Family Health at Upper Darby	5 S State Rd, Upper Darby Township, PA 19082, USA	(610) 352-6585	http://chespenn.org/
ChIJp3I5yN3pxokRMsz-RLegSNk	Moore Eye Institute	1001 Baltimore Pike Suite 208, Springfield, PA 19064, USA	(610) 690-4900	http://www.mooreeye.com/
ChIJJQmz49LGxokRUTrGOUL9D0E	CityLife Health	6232 Market St 1st Floor, Philadelphia, PA 19139, USA	(267) 819-1800	https://www.citylifehealth.com/
ChIJ0Tix7H7HxokR35N5rS-7SgU	Penn Medicine	4536 Spruce St Ground Floor, Philadelphia, PA 19139, USA	(215) 474-6100	https://www.pennmedicine.org/
ChIJFY_jNfbGxokRsmfvEbKXkNs	Clyde F Barker Transplant House	3940 Spruce St, Philadelphia, PA 19104, USA	(215) 662-4540	http://www.pennmedicine.org/transplant/patient-care/support-resources/transplant-house.html
ChIJIShEN-TGxokRXMrm8s6P2r0	The Children's Hospital Of Philadelphia	4865 Market St, Philadelphia, PA 19139, USA	(267) 425-9800	http://www.chop.edu/
ChIJE6HhWvfGxokR3Dk5JJsaWKY	DaVita Philadelphia 42nd Street Dialysis	4126 Walnut St, Philadelphia, PA 19104, USA	(833) 365-2838	https://www.davita.com/locations/pa/philadelphia/4126-walnut-st--3472
ChIJHYpamh7oxokR1toD9TBOphc	DaVita Woodlyn Dialysis	1310 MacDade Boulevard, Woodlyn, PA 19094, USA	(833) 388-0301	https://www.davita.com/locations/pa/woodlyn/1310-macdade-blvd--5380
ChIJ-VjoRlbGxokROwd4iR4mtuw	Scheie Eye Institute Penn Presbyterian	51 N 39th St, Philadelphia, PA 19104, USA	(215) 662-8100	https://www.pennmedicine.org/practices/scheie-eye-institute-penn-presbyterian?utm_source=location-management&utm_medium=referral&utm_campaign=penn-medicine&utm_term=scheie-eye-institute-penn-presbyterian&y_source=1_NDE5NzkzNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJmZ2BIlHGxokRJz-HKO__R08	CHOP Pediatric Primary Care, CHOP Campus	3550 Market St 4th Floor, Philadelphia, PA 19104, USA	(215) 590-2178	https://www.chop.edu/locations/primary-care-chop-campus?utm_source=gmb&utm_medium=organic&utm_campaign=network_pc&utm_content=locations_primary_care_chop_campus_cta_button_consumer_consideration_all
ChIJp3KiLKDHxokRYs7P3G-X_I0	vybe urgent care	3550 Market St Ste 102, Philadelphia, PA 19104, USA	(215) 405-0701	https://www.vybe.care/locations/university-city/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
ChIJ-VjoRlbGxokR4IId6ErfHyo	Penn Presbyterian Medical Center	51 N 39th St, Philadelphia, PA 19104, USA	(215) 662-8000	https://pennmedicine.org/Locations/Penn-Presbyterian-Medical-Center?y_source=1_NDE5ODMzNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
ChIJLysEfVbGxokRwHT4rW5ESrM	PPMC	36 N 38th St, Philadelphia, PA 19104, USA		
ChIJzXU2L8jHxokRlsIZCPwC5qo	Presbyterian Hospital	51 N 39th St, Philadelphia, PA 19104, USA		
